X(I=31),Y(J=21),PSI
0,0,0.0
2,0,0.0
4,0,0.0
6,0,0.0
8,0,0.0
10,0,100.0
12,0,100.0
14,0,100.0
16,0,100.0
18,0,100.0
20,0,100.0
22,0,100.0
24,0,100.0
26,0,100.0
28,0,100.0
30,0,100.0
32,0,100.0
34,0,100.0
36,0,100.0
38,0,100.0
40,0,100.0
42,0,100.0
44,0,100.0
46,0,100.0
48,0,100.0
50,0,100.0
52,0,100.0
54,0,100.0
56,0,100.0
58,0,100.0
60,0,100.0
0,2,0.0
2,2,3.3563999517992156
4,2,7.635381030127059
6,2,14.592684043771449
8,2,28.952242419749577
10,2,65.87544131989691
12,2,80.03712480612785
14,2,86.57193042505983
16,2,90.13934925228614
18,2,92.3626275810797
20,2,93.88667387444737
22,2,95.00241772740281
24,2,95.85686157545693
26,2,96.53178105660274
28,2,97.07644578104225
30,2,97.52256710050116
32,2,97.89170498881964
34,2,98.19919810347528
36,2,98.45637200758745
38,2,98.6718416860113
40,2,98.85231290082194
42,2,99.00309403126705
44,2,99.12843423698455
46,2,99.23175377665638
48,2,99.31580508920622
50,2,99.38278788347698
52,2,99.43443254539555
54,2,99.47206082842914
56,2,99.49662951350021
58,2,99.50876065268206
60,2,99.50876065268206
0,4,0.0
2,4,5.790218776274876
4,4,12.592440123559031
6,4,21.783112723258146
8,4,35.340844312818824
10,4,54.51239805065249
12,4,67.70112747596497
14,4,76.11124763771944
16,4,81.62283899839959
18,4,85.4244871924981
20,4,88.18165018375666
22,4,90.2661354537129
24,4,91.89324751140471
26,4,93.19381686309193
28,4,94.25143495986453
30,4,95.12211762458374
32,4,95.84505474340766
34,4,96.44871540928727
36,4,96.95444823236805
38,4,97.3786818268764
40,4,97.73431587701022
42,4,98.03162897804731
44,4,98.27888913061017
46,4,98.48277577086489
48,4,98.64867868698155
50,4,98.78091388948104
52,4,98.88288145976098
54,4,98.95718124484034
56,4,99.00569656286868
58,4,99.02965243450888
60,4,99.02965243450888
0,6,0.0
2,6,7.212035028380299
4,6,15.161047962265602
6,6,24.606482409641625
8,6,36.115624053462476
10,6,49.132179088887845
12,6,60.14373940345391
14,6,68.5490936447081
16,6,74.81627190353768
18,6,79.53083199841672
20,6,83.1493042052762
22,6,85.98722638247479
24,6,88.25617614285717
26,6,90.09880391334265
28,6,91.6133595589694
30,6,92.86941368220947
32,6,93.91768093804389
34,6,94.79616054449605
36,6,95.53402367185195
38,6,96.15412149781909
40,6,96.67463978761042
42,6,97.11021685826938
44,6,97.47271752120447
46,6,97.77178147360569
48,6,98.01521998254273
50,6,98.20930751168869
52,6,98.35899814316694
54,6,98.46808611203915
56,6,98.53932304229856
58,6,98.57450007162561
60,6,98.57450007162561
0,8,0.0
2,8,7.896873373094688
4,8,16.233234284308253
6,8,25.366144895144757
8,8,35.38299039683135
10,8,45.75695484110763
12,8,55.19255739620784
14,8,63.1251156249374
16,8,69.56232296234259
18,8,74.73326468101062
20,8,78.89750824409325
22,8,82.27728971471349
24,8,85.0454267499361
26,8,87.33186307329731
28,8,89.23378566446978
30,8,90.82449659046274
32,8,92.16009476454792
34,8,93.28422214060205
36,8,94.23136439389361
38,8,95.029140685528
40,8,95.6999048974089
42,8,96.26188112581143
44,8,96.72998260151395
46,8,97.11641259863241
48,8,97.43111223641253
50,8,97.68209800983281
52,8,97.87571746725409
54,8,98.0168419957872
56,8,98.10900940051313
58,8,98.15452471589155
60,8,98.15452471589155
0,10,0.0
2,10,8.142224177332372
4,10,16.508870902781332
6,10,25.241872484293154
8,10,34.29323779058198
10,10,43.3200924739882
12,10,51.744419705370845
14,10,59.196488485126366
16,10,65.5746396271628
18,10,70.94239550515958
20,10,75.43017436008482
22,10,79.17899746585793
24,10,82.31637805123604
26,10,84.94943594670936
28,10,87.1654234153867
30,10,89.03469222989035
32,10,90.61397936744143
34,10,91.9492688369849
36,10,93.07807105432765
38,10,94.03117192901242
40,10,94.83395796606146
42,10,95.50742012085027
44,10,96.06891913469335
46,10,96.5327740568406
48,10,96.91071832811107
50,10,97.2122547971388
52,10,97.44493169315437
54,10,97.61455497609741
56,10,97.72534782072748
58,10,97.78006464815213
60,10,97.78006464815213
0,12,0.0
2,12,8.163152430687953
4,12,16.418152660578613
6,12,24.799236342240032
8,12,33.22799579901882
10,12,41.48575754896744
12,12,49.26854045455451
14,12,56.3417789697967
16,12,62.59735154120717
18,12,68.03150333604343
20,12,72.70179620743016
22,12,76.69214771819946
24,12,80.09165202190788
26,12,82.98407922511656
28,12,85.44377979747753
30,12,87.53486952214286
32,12,89.31186161315965
34,12,90.82080275940476
