X(I=31),Y(J=21),PSI
0,0,0.0
2,0,0.0
4,0,0.0
6,0,0.0
8,0,0.0
10,0,100.0
12,0,100.0
14,0,100.0
16,0,100.0
18,0,100.0
20,0,100.0
22,0,100.0
24,0,100.0
26,0,100.0
28,0,100.0
30,0,100.0
32,0,100.0
34,0,100.0
36,0,100.0
38,0,100.0
40,0,100.0
42,0,100.0
44,0,100.0
46,0,100.0
48,0,100.0
50,0,100.0
52,0,100.0
54,0,100.0
56,0,100.0
58,0,100.0
60,0,100.0
0,2,0.0
2,2,3.3563999614429663
4,2,7.635381049578738
6,2,14.592684073159536
8,2,28.952242459161496
10,2,65.87544136938544
12,2,80.03712486570163
14,2,86.57193049469427
16,2,90.13934933191017
18,2,92.36262767059084
20,2,93.88667397369512
22,2,95.00241783620723
24,2,95.85686169358951
26,2,96.53178118380764
28,2,97.07644591701555
30,2,97.52256724491377
32,2,97.89170514129592
34,2,98.19919826361645
36,2,98.45637217495083
38,2,98.67184186013323
40,2,98.85231308119828
42,2,99.00309421737481
44,2,99.12843442826474
46,2,99.23175397253324
48,2,99.31580528907313
50,2,99.38278808671272
52,2,99.43443275135392
54,2,99.47206103645142
56,2,99.49662972290919
58,2,99.50876086279021
60,2,99.50876086279021
0,4,0.0
2,4,5.79021879552128
4,4,12.592440162375377
6,4,21.783112781890026
8,4,35.34084439144189
10,4,54.512398149357615
12,4,67.70112759477563
14,4,76.1112477765689
16,4,81.62283915715699
18,4,85.42448737093864
20,4,88.18165038159505
22,4,90.26613567056798
24,4,91.89324774683895
26,4,93.19381711657186
28,4,94.2514352308045
30,4,95.12211791230426
32,4,95.84505504718132
34,4,96.44871572829685
36,4,96.95444856575264
38,4,97.37868217369143
40,4,97.73431623627164
42,4,98.0316293486952
44,4,98.27888951154947
46,4,98.48277616093415
48,4,98.64867908498834
50,4,98.78091429417768
52,4,98.88288186987293
54,4,98.95718165905011
56,4,99.00569697983622
58,4,99.02965285286433
60,4,99.02965285286433
0,6,0.0
2,6,7.2120350569442975
4,6,15.161048019860933
6,6,24.60648249663078
8,6,36.115624170087585
10,6,49.132179235289435
12,6,60.14373957964316
14,6,68.54909385059894
16,6,74.81627213890795
18,6,79.53083226295215
20,6,83.14930449852233
22,6,85.98722670389076
24,6,88.25617649176061
26,6,90.09880428897092
28,6,91.61335996041986
30,6,92.86941410850555
32,6,93.91768138807352
34,6,94.79616101707961
36,6,95.53402416568186
38,6,96.1541220115264
40,6,96.67464031970856
42,6,97.11021740721687
44,6,97.47271808535494
46,6,97.77178205126407
48,6,98.01522057192439
50,6,98.20930811096648
52,6,98.35899875044132
54,6,98.46808672537436
56,6,98.53932365970539
58,6,98.57450069108499
60,6,98.57450069108499
0,8,0.0
2,8,7.8968734104452
4,8,16.233234359612936
6,8,25.36614500885744
8,8,35.38299054927128
10,8,45.75695503243128
12,8,55.19255762644215
14,8,63.12511589393637
16,8,69.5623232698369
18,8,74.73326502655101
20,8,78.89750862711433
22,8,82.27729013446644
24,8,85.04542720556368
26,8,87.33186356375909
28,8,89.23378618862502
30,8,90.82449714699155
32,8,92.16009535203837
34,8,93.28422275747094
36,8,94.23136503847405
38,8,95.02914135599336
40,8,95.69990559185712
42,8,96.26188184219582
44,8,96.72998333772068
46,8,97.11641335242128
48,8,97.43111300548424
50,8,97.68209879178293
52,8,97.87571825962716
54,8,98.01684279604628
56,8,98.10901020607845
58,8,98.15452552412711
60,8,98.15452552412711
0,10,0.0
2,10,8.14222422270806
4,10,16.508870994246564
6,10,25.24187262239661
8,10,34.29323797568302
10,10,43.32009270628621
12,10,51.74441998486203
14,10,59.19648881165381
16,10,65.57464000035608
18,10,70.94239592450344
20,10,75.43017482484416
22,10,79.1789979751619
24,10,82.31637860399206
26,10,84.94943654169876
28,10,87.16542405117163
30,10,89.03469290491694
32,10,90.61398007994389
34,10,91.94926958509151
36,10,93.07807183596657
38,10,94.03117274201588
40,10,94.8339588080779
42,10,95.50742098944212
44,10,96.06892002725947
46,10,96.53277497070374
48,10,96.91071926045441
50,10,97.21225574507916
52,10,97.4449326536961
54,10,97.61455594618839
56,10,97.72534879723267
58,10,97.7800656278903
60,10,97.7800656278903
0,12,0.0
2,12,8.163152483103623
4,12,16.418152766224875
6,12,24.79923650172343
8,12,33.227996012758595
10,12,41.4857578171568
12,12,49.26854077720639
14,12,56.34177934668422
16,12,62.59735197193192
18,12,68.03150381995776
20,12,72.70179674372491
22,12,76.69214830581159
24,12,80.09165265962372
26,12,82.984079911469
28,12,85.44378053086025
30,12,87.5348703007018
32,12,89.31186243491331
34,12,90.82080362213478
