Iteration,Error_psi,Error_omega
0,0.0,11.516172203567564
1,4.261569123766115e-05,9.978909934579757
2,5.104715826229064e-05,8.467667921815604
3,5.179811791830419e-05,6.0447457403175155
4,4.969121055785422e-05,3.927965521044773
5,4.672078155548002e-05,2.5231981672785526
6,4.3712368100516916e-05,1.694498555093115
7,4.103221832706129e-05,1.2086919989537688
8,3.880821632923148e-05,0.925845001700865
9,3.702677512548482e-05,0.7676888241466646
10,3.560850131704031e-05,0.6743661502822701
11,3.446198398275193e-05,0.6073028846863082
12,3.3510270389529556e-05,0.5503545541242906
13,3.2697510668203154e-05,0.4995413023890768
14,3.1986207548202564e-05,0.45460234573092195
15,3.135195514361917e-05,0.4155436342213091
16,3.07787361179293e-05,0.3819135240364427
17,3.0255611166459496e-05,0.35294860329615174
18,2.977467720773019e-05,0.32782657808010496
19,2.9329906712648427e-05,0.30582273074330163
20,2.89165116117553e-05,0.28636215949671096
21,2.853058827267777e-05,0.26900953154029356
22,2.8168903678524777e-05,0.2534360848289539
23,2.7828752156748067e-05,0.23938709210610454
24,2.7507850291788374e-05,0.2266581354265093
25,2.7204255848419235e-05,0.21508024191086428
26,2.6916304050132888e-05,0.20451112962034843
27,2.6642557318606917e-05,0.1948298765657968
28,2.6381765603825302e-05,0.18593327053207442
29,2.613283497221348e-05,0.1777329653849815
30,2.589480256407362e-05,0.17015309883446803
31,2.5666816442881243e-05,0.1631282660741354
32,2.5448119216085135e-05,0.15660181645527957
33,2.5238034591924758e-05,0.1505244447632332
34,2.503595625011097e-05,0.14485303824947343
35,2.4841338558414114e-05,0.1395497352107458
36,2.4653688777633103e-05,0.13458115316023772
37,2.44725604773128e-05,0.12991775127398977
38,2.429754794361693e-05,0.1255332993998235
39,2.4128281405451042e-05,0.12140443254819333
40,2.396442293930506e-05,0.11751027485095787
41,2.380566294024594e-05,0.11383212061511053
42,2.36517170675796e-05,0.11035316269052102
43,2.350232359057811e-05,0.1070582602675826
44,2.3357241072948398e-05,0.10393373966814996
45,2.3216246345482217e-05,0.10096722283947318
46,2.307913272489702e-05,0.09814747918861179
47,2.294570844388227e-05,0.09546429715159721
48,2.2815795263005325e-05,0.0929083725100009
49,2.268922723980758e-05,0.09047121097189871
50,2.256584963423338e-05,0.08814504294568618
51,2.244551793267304e-05,0.08592274877166378
52,2.2328096975569e-05,0.08379779295213037
53,2.2213460175680336e-05,0.0817641661482478
54,2.2101488815945475e-05,0.07981633390010605
55,2.199207141745498e-05,0.07794919118301269
56,2.1885103169285087e-05,0.07615802204371544
57,2.1780485413111482e-05,0.07443846366974934
58,2.167812517639443e-05,0.07278647433723476
59,2.1577934748782098e-05,0.0711983047599318
60,2.147983129701137e-05,0.06967047242817954
61,2.138373651420772e-05,0.06819973858184679
62,2.1289576299961913e-05,0.06678308750902454
63,2.1197280468016942e-05,0.06541770790239261
64,2.1106782478752526e-05,0.0641009760398925
65,2.1018019194004046e-05,0.06283044058598927
66,2.093093065201254e-05,0.06160380883519186
67,2.0845459860572254e-05,0.0604189342415997
68,2.0761552606624624e-05,0.05927380509714357
69,2.0679157280786153e-05,0.058166534237649815
70,2.0598224715405868e-05,0.05709534967010245
71,2.051870803494552e-05,0.05605858602690756
72,2.0440562517557397e-05,0.05505467676371765
73,2.0363745466891655e-05,0.054082147026898876
74,2.0288216093235505e-05,0.053139607124867774
75,2.0213935403173563e-05,0.05222574654486512
76,2.0140866097071157e-05,0.05133932846302594
77,2.006897247370725e-05,0.0504791847012146
78,1.9998220341479448e-05,0.04964421108902508
79,1.9928576935646243e-05,0.048833363193695696
80,1.9860010841120437e-05,0.04804565238453261
81,1.9792491920372468e-05,0.04728014220184201
82,1.972599124605445e-05,0.04653594500338754
